year,month,ID,tariff,stimulus,trial,kwh,mo_str,kwh_ym
2009,8,1002,E,E,0,114.75449999999984,08,kwh_2009_08
2009,8,1014,E,E,0,430.52050000000025,08,kwh_2009_08
2009,8,1022,E,E,0,283.19799999999975,08,kwh_2009_08
2009,8,1027,E,E,0,155.27899999999988,08,kwh_2009_08
2009,8,1030,E,E,0,189.28650000000016,08,kwh_2009_08
2009,8,1035,E,E,0,112.98,08,kwh_2009_08
2009,8,1036,E,E,0,163.15300000000005,08,kwh_2009_08
2009,8,1047,C,4,0,304.34000000000054,08,kwh_2009_08
2009,8,1058,E,E,0,259.3245000000003,08,kwh_2009_08
2009,8,1060,E,E,0,134.7524999999996,08,kwh_2009_08
2009,8,1074,E,E,0,161.0794999999995,08,kwh_2009_08
2009,8,1076,E,E,0,313.8270000000006,08,kwh_2009_08
2009,8,1080,C,4,0,285.8950000000001,08,kwh_2009_08
2009,8,1107,E,E,0,299.2474999999996,08,kwh_2009_08
2009,8,1120,E,E,0,86.68199999999993,08,kwh_2009_08
2009,8,1130,E,E,0,497.9805000000002,08,kwh_2009_08
2009,8,1141,E,E,0,474.0649999999989,08,kwh_2009_08
2009,8,1144,E,E,0,448.20850000000024,08,kwh_2009_08
2009,8,1152,C,4,0,287.8015000000002,08,kwh_2009_08
2009,8,1157,E,E,0,370.28999999999996,08,kwh_2009_08
2009,8,1164,E,E,0,348.92800000000057,08,kwh_2009_08
2009,8,1176,E,E,0,402.954,08,kwh_2009_08
2009,8,1179,E,E,0,140.25249999999983,08,kwh_2009_08
2009,8,1191,C,4,0,344.9740000000005,08,kwh_2009_08
2009,8,1207,E,E,0,231.65799999999996,08,kwh_2009_08
2009,8,1212,E,E,0,325.4289999999996,08,kwh_2009_08
2009,8,1225,E,E,0,248.19299999999984,08,kwh_2009_08
2009,8,1229,E,E,0,483.1409999999998,08,kwh_2009_08
2009,8,1233,C,4,0,541.2915,08,kwh_2009_08
2009,8,1239,E,E,0,404.58299999999997,08,kwh_2009_08
2009,8,1244,C,4,0,242.65900000000008,08,kwh_2009_08
2009,8,1250,C,4,0,400.6385000000012,08,kwh_2009_08
2009,8,1255,E,E,0,238.2825000000002,08,kwh_2009_08
2009,8,1257,E,E,0,248.6879999999996,08,kwh_2009_08
2009,8,1262,E,E,0,129.2275,08,kwh_2009_08
2009,8,1264,C,4,0,327.33299999999974,08,kwh_2009_08
2009,8,1268,E,E,0,177.46750000000023,08,kwh_2009_08
2009,8,1271,C,4,0,626.5314999999996,08,kwh_2009_08
2009,8,1274,E,E,0,233.7025000000001,08,kwh_2009_08
2009,8,1277,E,E,0,56.184000000000104,08,kwh_2009_08
2009,8,1281,E,E,0,433.8864999999994,08,kwh_2009_08
2009,8,1286,E,E,0,310.50399999999973,08,kwh_2009_08
2009,8,1294,E,E,0,359.57199999999995,08,kwh_2009_08
2009,8,1301,E,E,0,350.37050000000005,08,kwh_2009_08
2009,8,1309,C,4,0,321.6459999999993,08,kwh_2009_08
2009,8,1312,E,E,0,50.404500000000105,08,kwh_2009_08
2009,8,1316,E,E,0,78.14650000000005,08,kwh_2009_08
2009,8,1317,E,E,0,322.5990000000007,08,kwh_2009_08
2009,8,1331,E,E,0,306.0725,08,kwh_2009_08
2009,8,1351,C,4,0,728.6410000000001,08,kwh_2009_08
2009,8,1353,C,4,0,288.09799999999973,08,kwh_2009_08
2009,8,1354,E,E,0,130.42000000000024,08,kwh_2009_08
2009,8,1364,E,E,0,240.62800000000001,08,kwh_2009_08
2009,8,1365,E,E,0,256.68550000000033,08,kwh_2009_08
2009,8,1371,E,E,0,443.2629999999992,08,kwh_2009_08
2009,8,1376,E,E,0,359.1825000000001,08,kwh_2009_08
2009,8,1379,E,E,0,230.76650000000038,08,kwh_2009_08
2009,8,1388,E,E,0,97.55599999999994,08,kwh_2009_08
2009,8,1399,C,4,0,545.3714999999996,08,kwh_2009_08
2009,8,1425,E,E,0,512.7294999999996,08,kwh_2009_08
2009,8,1428,E,E,0,268.4379999999998,08,kwh_2009_08
2009,8,1432,C,4,0,259.4365,08,kwh_2009_08
2009,8,1435,E,E,0,165.898,08,kwh_2009_08
2009,8,1436,C,4,0,431.86250000000024,08,kwh_2009_08
2009,8,1440,E,E,0,229.5130000000002,08,kwh_2009_08
2009,8,1463,E,E,0,258.9729999999996,08,kwh_2009_08
2009,8,1466,E,E,0,340.3150000000004,08,kwh_2009_08
2009,8,1480,E,E,0,276.8555000000001,08,kwh_2009_08
2009,8,1492,E,E,0,70.99749999999989,08,kwh_2009_08
2009,8,1502,E,E,0,234.542,08,kwh_2009_08
2009,8,1505,E,E,0,111.40500000000003,08,kwh_2009_08
2009,8,1507,E,E,0,114.79050000000018,08,kwh_2009_08
2009,8,1517,E,E,0,225.2999999999999,08,kwh_2009_08
2009,8,1530,E,E,0,138.22699999999983,08,kwh_2009_08
2009,8,1532,E,E,0,419.05300000000017,08,kwh_2009_08
2009,8,1537,E,E,0,375.78699999999924,08,kwh_2009_08
2009,8,1542,C,4,0,351.5349999999998,08,kwh_2009_08
2009,8,1546,E,E,0,211.1425000000003,08,kwh_2009_08
2009,8,1548,E,E,0,391.6164999999995,08,kwh_2009_08
2009,8,1549,C,4,0,337.12200000000024,08,kwh_2009_08
2009,8,1551,E,E,0,195.7209999999998,08,kwh_2009_08
2009,8,1558,C,4,0,235.7644999999998,08,kwh_2009_08
2009,8,1559,C,4,0,214.32000000000016,08,kwh_2009_08
2009,8,1561,E,E,0,437.5855000000002,08,kwh_2009_08
2009,8,1564,E,E,0,212.18850000000015,08,kwh_2009_08
2009,8,1567,E,E,0,385.26000000000073,08,kwh_2009_08
2009,8,1573,E,E,0,516.1434999999989,08,kwh_2009_08
2009,8,1575,E,E,0,290.17900000000014,08,kwh_2009_08
2009,8,1580,C,4,0,390.9240000000002,08,kwh_2009_08
2009,8,1584,C,4,0,223.45599999999976,08,kwh_2009_08
2009,8,1592,E,E,0,280.11500000000007,08,kwh_2009_08
2009,8,1599,E,E,0,235.7400000000007,08,kwh_2009_08
2009,8,1607,E,E,0,20.005999999999997,08,kwh_2009_08
2009,8,1609,E,E,0,302.5894999999996,08,kwh_2009_08
2009,8,1624,E,E,0,336.11449999999945,08,kwh_2009_08
2009,8,1635,E,E,0,223.6855,08,kwh_2009_08
2009,8,1639,E,E,0,235.07800000000032,08,kwh_2009_08
2009,8,1650,E,E,0,364.64300000000054,08,kwh_2009_08
2009,8,1657,E,E,0,79.52449999999924,08,kwh_2009_08
2009,8,1664,E,E,0,162.3534999999996,08,kwh_2009_08
2009,8,1665,E,E,0,322.08499999999947,08,kwh_2009_08
2009,8,1666,E,E,0,288.8024999999997,08,kwh_2009_08
2009,8,1667,E,E,0,174.45049999999995,08,kwh_2009_08
2009,8,1670,E,E,0,343.3375000000004,08,kwh_2009_08
2009,8,1673,E,E,0,404.17499999999944,08,kwh_2009_08
2009,8,1675,E,E,0,276.4645000000001,08,kwh_2009_08
2009,8,1677,E,E,0,439.9380000000002,08,kwh_2009_08
2009,8,1679,E,E,0,225.46400000000014,08,kwh_2009_08
2009,8,1682,E,E,0,90.2000000000003,08,kwh_2009_08
2009,8,1692,C,4,0,296.9915000000003,08,kwh_2009_08
2009,8,1695,E,E,0,250.13250000000042,08,kwh_2009_08
2009,8,1700,E,E,0,84.34299999999948,08,kwh_2009_08
2009,8,1711,E,E,0,511.06299999999965,08,kwh_2009_08
2009,8,1716,E,E,0,217.22149999999993,08,kwh_2009_08
2009,8,1720,E,E,0,302.98499999999973,08,kwh_2009_08
2009,8,1722,E,E,0,246.3625000000004,08,kwh_2009_08
2009,8,1724,E,E,0,220.71800000000036,08,kwh_2009_08
2009,8,1727,E,E,0,457.7395000000003,08,kwh_2009_08
2009,8,1736,E,E,0,195.8304999999999,08,kwh_2009_08
2009,8,1742,E,E,0,226.72950000000014,08,kwh_2009_08
2009,8,1752,E,E,0,131.7390000000001,08,kwh_2009_08
2009,8,1760,E,E,0,386.4960000000003,08,kwh_2009_08
2009,8,1763,E,E,0,148.87900000000016,08,kwh_2009_08
